Hour,num_accidents
0,4608
1,3745
2,3654
3,3331
4,3758
5,7121
6,13249
7,17190
8,15220
9,11249
10,9885
11,10519
12,11669
13,13103
14,15813
15,18283
16,17952
17,16958
18,13819
19,9685
20,7757
21,7026
22,5963
23,5076
