Hour,num_accidents
0,31153
1,31133
2,27036
3,21941
4,33453
5,36255
6,57763
7,74738
8,72618
9,42862
10,44065
11,46323
12,47743
13,60265
14,62654
15,69882
16,78843
17,76435
18,66334
19,47908
20,40408
21,38376
22,36937
23,33788
