Hour,num_accidents
0,5124
1,4376
2,4779
3,4699
4,17545
5,27666
6,55503
7,89538
8,90699
9,51907
10,45883
11,46090
12,39772
13,42375
14,43747
15,54423
16,65892
17,66996
18,47478
19,31187
20,21216
21,15782
22,13948
23,6801
