Hour,num_accidents
0,27823
1,23935
2,23320
3,21593
4,41426
5,56380
6,82810
7,102800
8,98050
9,59148
10,60053
11,64760
12,68810
13,81878
14,97128
15,114024
16,122462
17,117882
18,86905
19,58012
20,45047
21,41975
22,37219
23,30313
