County,num_accidents
Greeley,2
St John The Baptist,2
Saint Martin,2
Mcduffie,2
Mccracken,2
Ziebach,2
Chariton,2
Republic,2
Matagorda,2
Saint Croix,2
Buena Vista (City),2
Jewell,2
Los Alamos,2
Kingsbury,2
Piscataquis,2
Box Butte,2
Poquoson (City),1
Mclean,1
Presidio,1
Martinsville (City),1
Stonewall,1
East Carroll,1
Jim Hogg,1
Real,1
Jack,1
Fleming,1
Frontier,1
Spink,1
Rains,1
Letcher,1
Nantucket,1
Hand,1
McCulloch,1
Waynesboro City,1
Newport News City,1
Menifee,1
Buena Vista City,1
Cottle,1
Saint James,1
Dewitt,1
Borden,1
Dixon,1
Oregon,1
St Bernard,1
Reynolds,1
Blackford,1
Owsley,1
Fall River,1
Pleasants,1
Mcdowell,1
Daniels,1
Hickory,1
Shannon,1
Bon Homme,1
Ontonagon,1
Kearney,1
Dickens,1
Nuckolls,1
Gregory,1
Oglala Lakota,1
Glascock,1
Dawes,1
Mellette,1
Gove,1
Woods,1
Mcminn,1
Hanson,1
Ness,1
