Hour,num_accidents
0,5572
1,4438
2,4874
3,4790
4,10960
5,17948
6,37096
7,60780
8,64337
9,42897
10,37617
11,37101
12,36926
13,37453
14,39063
15,44621
16,52570
17,55261
18,41365
19,29886
20,20604
21,13962
22,11843
23,6129
