Start_Lat_Category,num_accidents
24,866
25,259361
26,120292
27,122872
28,240346
29,280107
30,350950
31,33150
32,406873
33,805977
34,794182
35,518990
36,306125
37,484138
38,505835
39,501762
40,625976
41,409850
42,334434
43,159286
44,150961
45,170458
46,30312
47,102925
48,12357
49,9
