Hour,num_accidents
0,4321
1,3465
2,3352
3,3454
4,5311
5,9137
6,16484
7,26730
8,30853
9,27329
10,25574
11,25428
12,23024
13,19992
14,22427
15,23003
16,26576
17,28816
18,25721
19,20337
20,17473
21,9775
22,7817
23,4422
