Hour,num_accidents
0,8168
1,5705
2,5946
3,5668
4,19808
5,29199
6,60156
7,96733
8,98641
9,55522
10,48895
11,46809
12,39538
13,42297
14,45124
15,55719
16,67719
17,70774
18,52945
19,34076
20,22484
21,18245
22,14738
23,9394
